Years of Experience,Age,Gender,Education Level,Job Role,Location,Industry,Salary (Annual)
8.5,42,Female,PhD,UX Designer,Mumbai,Consulting,38875.69
3.5,47,Female,Bachelor's,DevOps Engineer,New York,Finance,152092.75
20.9,25,Female,Bachelor's,Product Manager,San Francisco,Finance,206617.31
18.9,55,Male,Master's,UX Designer,New York,Manufacturing,212522.06
26.3,39,Female,Bachelor's,Healthcare Administrator,Remote_India,Pharmaceutical,39375.42
22.1,61,Female,Bachelor's,Financial Analyst,San Francisco,Healthcare,248582.15
24.1,56,Female,Bachelor's,Sales Rep,Remote_India,Education,37520.49
8.5,62,Female,High School,Data Scientist,Seattle,Finance,158776.19
5.3,50,Female,Master's,Consultant,Berlin,Consulting,125068.37
22.5,50,Male,Bachelor's,Software Engineer,London,Media,198148.61
24.2,59,Male,Bachelor's,Software Engineer,Sydney,Consulting,192607.64
29.7,63,Female,High School,Marketing Specialist,Berlin,Retail,173336.07
12.4,42,Male,Master's,Product Manager,Toronto,Healthcare,140918.51
11.2,63,Other,Bachelor's,DevOps Engineer,Berlin,Education,150626.95
23.3,34,Female,Master's,Cybersecurity Analyst,Hyderabad,Consulting,47541.19
10.2,62,Female,Bachelor's,Consultant,Austin,Retail,149306.86
27.9,38,Male,Bachelor's,Teacher/Professor,Chicago,Education,185451.45
25.8,30,Female,Bachelor's,HR Manager,Seattle,Tech,202639.07
12.9,62,Female,High School,Software Engineer,Delhi,Logistics,35823.05
22.5,22,Female,Bachelor's,Consultant,Mumbai,Pharmaceutical,43515.32
22.6,23,Female,Bachelor's,Data Scientist,Berlin,Finance,146251.43
3.1,50,Male,PhD,Product Manager,Sydney,Retail,126458.93
27.1,54,Female,High School,Teacher/Professor,Bengaluru,Tech,53289.13
15.2,31,Female,Master's,Financial Analyst,Mumbai,Tech,43447.42
24.8,61,Male,Bachelor's,Civil Engineer,Tokyo,Finance,144955.61
9.6,42,Male,Bachelor's,Data Scientist,Chicago,Consulting,152077.42
26.9,49,Female,Bachelor's,Marketing Specialist,Remote_Bengaluru,Government,45093.61
11.7,32,Female,PhD,Software Engineer,Seattle,Retail,171151.27
0.3,55,Other,Bachelor's,HR Manager,Hyderabad,Retail,23389.47
27.2,29,Female,High School,Consultant,Seattle,Healthcare,192352.46
2.7,43,Male,Bachelor's,Marketing Specialist,Berlin,Tech,103780.64
9.6,29,Male,High School,Data Scientist,Delhi,Tech,31139.29
28.5,36,Male,High School,Software Engineer,Austin,Pharmaceutical,206493.43
28.5,38,Male,Bachelor's,Software Engineer,Seattle,Automotive,228528.35
17.2,44,Male,High School,Marketing Specialist,Mumbai,Healthcare,41301.14
19.0,45,Male,High School,Cloud Engineer,Sydney,Consulting,156592.85
13.5,40,Male,Master's,Data Scientist,Remote_India,Aerospace,38204.92
8.8,26,Female,Bachelor's,Consultant,Mumbai,Tech,30135.79
9.9,53,Male,High School,Civil Engineer,Remote_USA,Pharmaceutical,116653.08
20.2,65,Female,Bachelor's,Financial Analyst,Mumbai,Education,48509.37
22.6,22,Female,Master's,HR Manager,Remote_India,Education,33176.09
23.7,44,Male,Bachelor's,Teacher/Professor,Remote_Bengaluru,Finance,50106.79
23.7,58,Male,Bachelor's,Data Scientist,Remote_USA,Consulting,196912.87
2.7,29,Male,High School,Product Manager,Remote_India,Pharmaceutical,17338.97
14.8,34,Male,Bachelor's,Software Engineer,Chennai,Tech,38575.0
1.7,29,Female,Bachelor's,DevOps Engineer,Sydney,Retail,86926.77
16.5,44,Male,Master's,Cloud Engineer,Toronto,Tech,153556.25
13.2,64,Male,Master's,Consultant,Remote_Bengaluru,Government,47178.78
26.6,22,Male,Master's,Software Engineer,Remote_India,Retail,41568.22
10.5,45,Other,Bachelor's,UX Designer,Chicago,Pharmaceutical,132896.78
3.5,56,Female,Bachelor's,Software Engineer,London,Finance,143583.83
4.3,45,Female,Bachelor's,Software Engineer,Bengaluru,Tech,36187.26
22.8,38,Male,Bachelor's,Marketing Specialist,Chicago,Tech,179326.53
18.5,26,Female,Bachelor's,DevOps Engineer,Bengaluru,Finance,44493.16
3.0,41,Female,Master's,Cybersecurity Analyst,London,Tech,123180.47
2.5,42,Female,Bachelor's,Consultant,San Francisco,Retail,126261.02
21.0,61,Other,Bachelor's,Software Engineer,Bengaluru,Tech,57230.51
2.2,52,Male,Bachelor's,Product Manager,Mumbai,Retail,32982.45
24.7,57,Female,Bachelor's,Product Manager,New York,Finance,232241.11
21.2,32,Female,High School,Consultant,Austin,Retail,130230.42
2.4,36,Male,Master's,Teacher/Professor,London,Consulting,102316.46
2.5,40,Male,Bachelor's,UX Designer,London,Education,99505.63
29.6,28,Other,Master's,UX Designer,Chicago,Food & Beverage,190905.55
11.2,49,Male,Master's,Software Engineer,Berlin,Tech,146980.39
11.1,64,Female,Master's,Product Manager,Remote_Bengaluru,Healthcare,42469.25
24.4,26,Other,Bachelor's,Sales Rep,Bengaluru,Healthcare,46303.06
28.4,26,Female,High School,Software Engineer,Remote_India,Healthcare,38985.23
29.6,51,Male,Bachelor's,Sales Rep,Sydney,Consulting,185372.95
22.6,53,Female,Master's,Civil Engineer,Bengaluru,Healthcare,58126.27
11.3,29,Male,Bachelor's,Marketing Specialist,Seattle,Retail,111986.04
2.5,31,Female,Master's,Software Engineer,Sydney,Healthcare,106363.16
23.3,59,Male,Bachelor's,Data Scientist,Delhi,Food & Beverage,51460.14
16.8,53,Female,Bachelor's,Sales Rep,San Francisco,Automotive,203410.28
12.7,49,Female,Bachelor's,Product Manager,Delhi,Finance,39602.7
27.2,38,Female,Bachelor's,Product Manager,Mumbai,Tech,56754.38
3.3,52,Female,Bachelor's,Financial Analyst,London,Media,134726.37
14.8,29,Female,Master's,Marketing Specialist,Mumbai,Food & Beverage,37676.89
0.3,61,Female,Master's,Teacher/Professor,Seattle,Finance,151799.13
14.1,46,Male,Master's,Product Manager,Hyderabad,Finance,40017.91
1.7,30,Female,Master's,Teacher/Professor,Mumbai,Automotive,24503.53
3.6,23,Male,Master's,Product Manager,Seattle,Manufacturing,120514.22
3.5,36,Female,High School,Software Engineer,Delhi,Finance,22737.63
19.5,24,Male,Master's,Financial Analyst,London,Education,148197.93
22.4,57,Male,Bachelor's,Marketing Specialist,New York,Automotive,228582.11
17.5,25,Female,High School,Cloud Engineer,Chennai,Media,28920.31
28.9,35,Male,Master's,Consultant,Remote_USA,Manufacturing,192226.99
11.2,62,Male,Bachelor's,Cloud Engineer,Chicago,Manufacturing,171292.1
8.6,62,Female,High School,Cybersecurity Analyst,Bengaluru,Tech,45031.38
26.1,46,Female,High School,Marketing Specialist,Remote_USA,Media,172454.91
6.7,31,Female,High School,Financial Analyst,London,Finance,107023.09
28.9,42,Male,PhD,Financial Analyst,Chicago,Automotive,230038.45
0.4,57,Female,High School,DevOps Engineer,Remote_India,Finance,23697.37
29.1,33,Male,Bachelor's,Teacher/Professor,San Francisco,Government,216981.86
1.3,48,Female,Bachelor's,Software Engineer,Sydney,Finance,110591.92
26.7,61,Female,Bachelor's,Teacher/Professor,Chennai,Retail,41721.7
15.8,23,Female,PhD,Data Scientist,Hyderabad,Tech,43874.8
29.8,34,Male,High School,UX Designer,Chicago,Consulting,178306.72
2.2,53,Male,Bachelor's,Data Scientist,Bengaluru,Media,37041.7
16.6,52,Male,Master's,HR Manager,Seattle,Manufacturing,193697.98
29.1,37,Male,PhD,Cybersecurity Analyst,Toronto,Retail,194130.44
15.7,53,Male,Master's,Product Manager,Mumbai,Tech,52634.28
18.9,53,Female,Master's,Software Engineer,Chennai,Automotive,45645.55
20.9,55,Male,High School,Product Manager,Remote_India,Consulting,38239.53
13.6,32,Female,Bachelor's,HR Manager,Remote_USA,Manufacturing,114464.55
18.8,31,Male,Bachelor's,Product Manager,Remote_India,Pharmaceutical,33437.1
17.5,36,Female,Master's,Product Manager,Hyderabad,Manufacturing,40814.45
27.0,38,Female,Bachelor's,Data Scientist,Hyderabad,Healthcare,44824.65
1.4,61,Male,Bachelor's,Sales Rep,Mumbai,Manufacturing,28807.2
8.4,39,Male,Bachelor's,Product Manager,Bengaluru,Education,32881.76
28.5,30,Female,High School,Consultant,Seattle,Government,193741.98
26.7,46,Male,Bachelor's,Software Engineer,London,Pharmaceutical,226146.08
13.7,61,Female,PhD,HR Manager,Delhi,Tech,48582.98
18.6,35,Female,Bachelor's,Data Scientist,Bengaluru,Finance,49227.1
8.3,46,Female,Master's,Sales Rep,Sydney,Tech,128654.9
5.6,43,Male,Master's,Product Manager,New York,Tech,172379.09
13.9,51,Female,Bachelor's,Consultant,London,Education,156162.92
10.6,41,Female,High School,Cloud Engineer,Singapore,Government,129011.69
17.5,42,Female,Bachelor's,Cloud Engineer,Berlin,Tech,154383.27
2.3,65,Male,Bachelor's,Marketing Specialist,London,Healthcare,146550.84
29.2,53,Female,Master's,Sales Rep,Remote_USA,Aerospace,205653.58
29.6,42,Female,Bachelor's,Teacher/Professor,Seattle,Media,211744.45
20.9,56,Female,High School,HR Manager,Remote_India,Retail,34023.04
16.1,53,Male,Bachelor's,Data Scientist,Chicago,Pharmaceutical,174062.87
9.3,51,Female,PhD,Civil Engineer,Austin,Retail,160679.95
24.4,60,Male,Master's,UX Designer,Remote_Bengaluru,Tech,56538.4
20.5,33,Female,Master's,Data Scientist,Chicago,Tech,189342.48
4.9,62,Female,Master's,Product Manager,Toronto,Tech,140475.15
27.3,39,Female,Bachelor's,Data Scientist,London,Finance,215767.73
24.7,42,Female,Master's,Sales Rep,London,Automotive,205877.55
28.5,34,Male,High School,Data Scientist,Remote_Bengaluru,Pharmaceutical,45078.94
21.8,42,Other,Master's,Software Engineer,Berlin,Healthcare,171002.33
18.4,29,Male,Master's,Software Engineer,Remote_Bengaluru,Healthcare,42888.34
12.5,61,Female,High School,Marketing Specialist,Delhi,Finance,35897.96
28.0,28,Female,Master's,Consultant,Chicago,Consulting,195346.34
26.0,44,Female,PhD,Product Manager,Berlin,Pharmaceutical,198891.56
1.4,65,Male,Bachelor's,Software Engineer,London,Tech,150974.27
0.8,53,Female,Master's,Software Engineer,Bengaluru,Tech,41551.3
11.3,32,Female,High School,Cloud Engineer,New York,Education,118257.01
24.3,43,Male,Bachelor's,Sales Rep,Chennai,Retail,38370.87
29.6,43,Female,Bachelor's,Sales Rep,New York,Healthcare,216048.53
4.5,64,Male,Bachelor's,Software Engineer,Toronto,Education,118936.31
17.8,46,Male,PhD,Consultant,Sydney,Retail,172546.13
11.4,43,Male,Master's,Financial Analyst,Austin,Finance,169959.87
29.1,49,Male,Master's,Data Scientist,Hyderabad,Finance,56584.63
25.3,50,Female,Bachelor's,Software Engineer,San Francisco,Healthcare,234973.26
25.1,34,Male,PhD,UX Designer,Remote_India,Government,42177.55
14.1,39,Male,High School,Civil Engineer,Remote_USA,Logistics,124720.38
12.4,23,Male,Master's,Civil Engineer,Hyderabad,Aerospace,34064.89
8.2,50,Female,Bachelor's,Marketing Specialist,Remote_USA,Manufacturing,104124.32
1.7,42,Female,High School,Consultant,San Francisco,Education,120756.99
25.9,36,Male,Master's,Software Engineer,Bengaluru,Consulting,61643.42
24.4,48,Male,Bachelor's,Marketing Specialist,San Francisco,Automotive,245172.1
30.0,52,Female,Bachelor's,HR Manager,Delhi,Tech,50129.28
29.9,36,Male,Bachelor's,Data Scientist,New York,Retail,234550.03
16.7,44,Female,High School,Cybersecurity Analyst,Mumbai,Consulting,42941.17
23.1,45,Male,Bachelor's,Data Scientist,Berlin,Consulting,173392.07
28.3,65,Female,High School,Product Manager,London,Finance,210764.91
25.5,34,Male,Bachelor's,Marketing Specialist,Berlin,Education,145723.07
7.4,43,Female,High School,Marketing Specialist,Toronto,Pharmaceutical,76625.05
13.5,64,Male,Master's,Consultant,San Francisco,Healthcare,228481.7
3.9,58,Other,Bachelor's,Software Engineer,San Francisco,Pharmaceutical,158378.9
28.6,54,Male,PhD,Civil Engineer,Delhi,Finance,61506.97
18.2,24,Female,Master's,Financial Analyst,Berlin,Automotive,144742.04
6.9,40,Male,Bachelor's,Sales Rep,Tokyo,Retail,73178.66
20.2,44,Male,Master's,Healthcare Administrator,New York,Education,210107.42
18.5,50,Female,Master's,Consultant,Remote_USA,Tech,182350.95
10.7,51,Male,PhD,Software Engineer,Seattle,Tech,225828.93
3.4,60,Female,Bachelor's,Consultant,Remote_India,Education,22443.52
20.1,65,Female,High School,Software Engineer,Chennai,Healthcare,39749.59
15.6,46,Female,Master's,Software Engineer,San Francisco,Retail,221816.79
23.2,58,Male,Master's,UX Designer,Mumbai,Tech,62352.05
15.6,29,Female,Master's,Healthcare Administrator,Hyderabad,Media,36414.73
25.6,63,Male,Bachelor's,Data Scientist,Remote_Bengaluru,Pharmaceutical,55194.15
16.6,37,Female,Master's,HR Manager,New York,Tech,202832.21
16.8,29,Female,PhD,Data Scientist,Berlin,Education,161397.03
26.3,22,Female,Bachelor's,Consultant,Delhi,Media,42519.44
12.1,65,Female,High School,Sales Rep,London,Education,123081.13
4.0,26,Female,Bachelor's,HR Manager,Remote_Bengaluru,Finance,22846.76
0.9,24,Male,Master's,Data Scientist,Austin,Consulting,121009.01
22.7,22,Female,Master's,Consultant,San Francisco,Tech,227292.88
18.6,25,Male,Master's,Healthcare Administrator,Remote_India,Finance,36609.48
21.1,61,Female,Bachelor's,HR Manager,Austin,Tech,192418.58
6.4,56,Female,Bachelor's,Sales Rep,London,Retail,115905.73
4.1,53,Female,Bachelor's,Cloud Engineer,Remote_India,Tech,31883.31
0.4,63,Male,Bachelor's,Software Engineer,London,Automotive,139596.03
10.5,55,Female,Master's,Consultant,Chicago,Finance,156008.14
17.7,64,Male,PhD,Cybersecurity Analyst,Remote_USA,Tech,204548.11
11.8,46,Male,PhD,Software Engineer,Hyderabad,Healthcare,41105.55
13.1,31,Male,PhD,Sales Rep,New York,Finance,181033.18
27.1,42,Male,Bachelor's,Data Scientist,Remote_India,Retail,43092.66
10.4,60,Male,Bachelor's,Financial Analyst,London,Finance,172478.79
15.4,48,Female,Master's,HR Manager,Bengaluru,Tech,51687.42
23.5,48,Male,PhD,Product Manager,Remote_India,Finance,47959.83
11.9,23,Male,High School,Sales Rep,Austin,Healthcare,111399.14
18.7,62,Female,Bachelor's,Product Manager,Remote_USA,Tech,189092.66
25.9,34,Male,High School,Product Manager,Tokyo,Pharmaceutical,120981.18
28.5,30,Female,Master's,Data Scientist,Singapore,Education,199001.78
4.4,57,Female,Bachelor's,Cybersecurity Analyst,Mumbai,Education,33348.55
27.8,43,Female,Bachelor's,Software Engineer,Sydney,Retail,193249.51
14.8,63,Female,High School,Cybersecurity Analyst,Mumbai,Education,40149.74
7.7,47,Female,Bachelor's,Financial Analyst,Chicago,Automotive,118266.86
13.8,33,Female,Master's,Product Manager,Chicago,Tech,159702.04
29.4,38,Male,Bachelor's,Consultant,Toronto,Tech,179937.9
14.8,35,Female,Master's,Sales Rep,Austin,Tech,144795.99
9.9,35,Male,Master's,Sales Rep,Delhi,Tech,37197.8
19.0,55,Female,Master's,Software Engineer,Delhi,Tech,52636.51
7.2,41,Male,High School,UX Designer,Remote_India,Consulting,23589.82
2.3,32,Female,PhD,Data Scientist,Mumbai,Healthcare,41718.97
3.9,37,Male,Bachelor's,Software Engineer,Chicago,Food & Beverage,114243.94
3.8,52,Female,PhD,Product Manager,Austin,Tech,174847.21
4.6,27,Male,PhD,Software Engineer,Chennai,Finance,33674.96
4.2,40,Female,Bachelor's,Data Scientist,Remote_India,Food & Beverage,25918.42
19.2,58,Female,High School,Software Engineer,Delhi,Media,42261.66
5.5,25,Male,Bachelor's,Software Engineer,Remote_India,Healthcare,22748.72
10.4,25,Female,Bachelor's,Data Scientist,San Francisco,Retail,140133.51
26.9,41,Female,Bachelor's,Healthcare Administrator,Berlin,Media,162097.56
14.2,31,Female,Bachelor's,Software Engineer,Delhi,Healthcare,33380.93
20.0,45,Male,Bachelor's,Marketing Specialist,San Francisco,Tech,225495.69
5.2,56,Male,High School,Software Engineer,Bengaluru,Media,40316.42
5.8,47,Male,High School,Cloud Engineer,London,Retail,107340.79
1.2,58,Male,Bachelor's,Software Engineer,Toronto,Tech,120372.36
5.1,59,Female,High School,DevOps Engineer,Seattle,Retail,125081.9
8.4,42,Male,Bachelor's,Marketing Specialist,Hyderabad,Healthcare,28480.41
5.3,61,Female,Bachelor's,Software Engineer,San Francisco,Government,163122.98
2.7,60,Male,Bachelor's,Cybersecurity Analyst,New York,Tech,181715.93
3.6,42,Female,Master's,Financial Analyst,Delhi,Government,27275.07
13.8,31,Female,Bachelor's,Data Scientist,Hyderabad,Retail,32628.03
6.2,59,Female,Bachelor's,Consultant,Remote_Bengaluru,Healthcare,35545.35
10.9,25,Male,Bachelor's,Cloud Engineer,Remote_USA,Tech,120678.46
15.1,41,Male,Master's,Sales Rep,New York,Consulting,188607.13
20.7,38,Male,Master's,Product Manager,Mumbai,Automotive,54006.48
1.2,28,Male,Master's,Teacher/Professor,New York,Finance,105704.83
24.0,25,Male,Master's,HR Manager,San Francisco,Tech,242843.59
18.8,50,Male,High School,Cybersecurity Analyst,Remote_USA,Retail,147708.32
2.5,35,Male,Bachelor's,Consultant,Bengaluru,Pharmaceutical,33268.67
26.2,24,Female,High School,Data Scientist,Chicago,Tech,187932.48
27.6,45,Male,PhD,Cloud Engineer,Delhi,Education,52886.28
1.8,58,Female,Master's,Software Engineer,New York,Education,140319.67
8.3,37,Male,Master's,Data Scientist,San Francisco,Finance,192374.56
24.2,25,Female,Bachelor's,Financial Analyst,Hyderabad,Healthcare,40069.91
22.4,45,Female,Master's,Financial Analyst,San Francisco,Tech,258865.44
5.5,55,Female,Bachelor's,Software Engineer,Chennai,Pharmaceutical,28183.45
6.3,51,Female,High School,Teacher/Professor,New York,Education,116162.93
11.1,39,Male,Bachelor's,Product Manager,Bengaluru,Retail,36736.16
14.5,40,Female,Bachelor's,UX Designer,Austin,Finance,154185.91
18.5,52,Male,Bachelor's,Teacher/Professor,San Francisco,Finance,217779.58
11.1,40,Male,Master's,UX Designer,Delhi,Media,34105.8
13.9,40,Female,High School,Software Engineer,Toronto,Healthcare,113210.07
22.4,43,Female,Bachelor's,Data Scientist,New York,Retail,219567.34
1.1,45,Male,Bachelor's,DevOps Engineer,Bengaluru,Retail,26881.72
7.6,33,Female,Bachelor's,Software Engineer,Hyderabad,Healthcare,28009.86
21.4,51,Female,Master's,Product Manager,Bengaluru,Finance,57345.51
26.9,59,Male,Master's,Sales Rep,Remote_Bengaluru,Tech,57989.54
15.4,52,Male,Master's,Sales Rep,Austin,Tech,188059.55
16.0,57,Male,Master's,Software Engineer,Sydney,Manufacturing,189137.57
3.2,40,Male,Master's,Sales Rep,Bengaluru,Tech,36304.77
13.4,57,Male,Bachelor's,UX Designer,Remote_USA,Tech,165450.75
16.0,51,Male,Master's,DevOps Engineer,Berlin,Pharmaceutical,161204.86
7.3,54,Male,Bachelor's,Data Scientist,Delhi,Tech,37771.21
8.1,39,Female,Bachelor's,Product Manager,Mumbai,Education,32608.63
11.3,49,Female,High School,UX Designer,Remote_India,Finance,28591.71
0.6,32,Other,Master's,UX Designer,Delhi,Tech,26200.27
9.7,54,Male,Master's,HR Manager,Austin,Healthcare,154834.47
6.3,38,Female,Bachelor's,Data Scientist,Hyderabad,Tech,33451.93
9.8,27,Female,Master's,Data Scientist,San Francisco,Media,173265.18
3.6,25,Female,PhD,Consultant,Remote_Bengaluru,Retail,27418.05
26.7,41,Male,High School,Sales Rep,Singapore,Tech,182139.16
17.8,48,Female,Bachelor's,UX Designer,Remote_USA,Tech,161489.84
20.4,36,Male,Master's,Data Scientist,Bengaluru,Healthcare,60958.7
23.7,27,Male,Bachelor's,Data Scientist,New York,Tech,217538.55
15.0,35,Female,Master's,Software Engineer,New York,Finance,213048.45
2.6,32,Female,High School,Software Engineer,Toronto,Retail,67170.5
16.1,60,Male,Bachelor's,Financial Analyst,San Francisco,Media,215008.71
17.6,30,Female,Master's,Cybersecurity Analyst,Bengaluru,Healthcare,46268.42
22.4,47,Female,Master's,Product Manager,London,Manufacturing,207915.29
12.9,37,Female,Master's,Product Manager,Berlin,Government,126771.31
3.8,26,Female,Master's,Software Engineer,Mumbai,Tech,31764.69
8.5,31,Male,Master's,UX Designer,Delhi,Pharmaceutical,29046.41
10.9,24,Other,Master's,Software Engineer,Hyderabad,Manufacturing,34683.08
19.4,34,Female,High School,Cloud Engineer,Sydney,Finance,153283.17
17.1,64,Male,Bachelor's,HR Manager,Delhi,Food & Beverage,41937.8
10.7,51,Female,High School,Healthcare Administrator,Delhi,Finance,33110.47
29.6,27,Female,Master's,Cybersecurity Analyst,New York,Finance,245473.13
18.2,38,Female,Bachelor's,Sales Rep,San Francisco,Pharmaceutical,179740.13
7.1,40,Female,Bachelor's,Sales Rep,Delhi,Healthcare,24228.26
3.1,63,Female,Bachelor's,Data Scientist,Sydney,Finance,136678.3
4.6,56,Female,Master's,Sales Rep,Berlin,Tech,121738.0
7.4,47,Female,Master's,Cybersecurity Analyst,Singapore,Pharmaceutical,153489.16
4.8,26,Female,Bachelor's,Software Engineer,Mumbai,Pharmaceutical,24685.62
5.6,50,Male,Master's,Civil Engineer,Remote_Bengaluru,Retail,32341.92
8.6,58,Female,Bachelor's,Product Manager,London,Logistics,144129.13
5.2,41,Male,Bachelor's,Cybersecurity Analyst,Chennai,Finance,29115.33
26.9,42,Female,Master's,Cloud Engineer,Remote_USA,Tech,213861.1
2.4,31,Female,Bachelor's,HR Manager,Bengaluru,Consulting,28685.37
15.7,26,Female,PhD,HR Manager,Berlin,Manufacturing,130992.43
12.3,57,Female,High School,Sales Rep,Chicago,Tech,132154.71
29.5,27,Female,High School,Civil Engineer,Toronto,Tech,145621.87
3.4,47,Male,PhD,DevOps Engineer,Seattle,Media,165605.53
11.9,25,Female,High School,Teacher/Professor,Remote_India,Logistics,20827.1
29.1,60,Male,PhD,Marketing Specialist,Chennai,Education,51067.02
26.0,60,Male,PhD,Marketing Specialist,Remote_India,Finance,48778.23
24.5,56,Male,High School,Civil Engineer,Bengaluru,Food & Beverage,51997.46
7.7,22,Female,Bachelor's,Financial Analyst,Toronto,Aerospace,90980.21
5.1,45,Female,Bachelor's,Teacher/Professor,Chennai,Retail,19701.29
20.1,57,Female,Bachelor's,Sales Rep,Chicago,Media,172293.79
27.9,27,Male,High School,Software Engineer,Chennai,Media,40527.69
16.7,62,Female,Bachelor's,UX Designer,Chicago,Automotive,177277.57
17.1,65,Male,Bachelor's,UX Designer,Chicago,Media,168234.22
8.4,52,Male,Bachelor's,Software Engineer,Bengaluru,Education,36646.41
23.1,41,Female,PhD,Software Engineer,London,Education,223343.77
5.6,45,Male,Master's,Financial Analyst,Mumbai,Healthcare,37396.55
9.7,46,Male,Master's,Software Engineer,Hyderabad,Education,35608.2
12.8,57,Male,Bachelor's,Product Manager,Bengaluru,Pharmaceutical,46339.56
15.2,42,Male,Master's,Consultant,Seattle,Logistics,196219.96
7.3,51,Male,Bachelor's,DevOps Engineer,Sydney,Healthcare,126460.22
3.4,45,Male,Master's,Consultant,Delhi,Retail,30828.61
18.3,65,Female,PhD,Healthcare Administrator,Sydney,Healthcare,195541.37
8.7,63,Female,Bachelor's,Consultant,Austin,Consulting,159527.2
17.4,51,Female,Master's,Product Manager,San Francisco,Education,212594.31
4.6,43,Other,Master's,HR Manager,London,Tech,145857.52
14.4,49,Male,PhD,Consultant,Hyderabad,Retail,44160.75
16.0,28,Female,Master's,UX Designer,Austin,Tech,162552.44
1.6,56,Other,Bachelor's,Software Engineer,Chicago,Tech,141107.28
10.1,49,Male,Bachelor's,Consultant,Remote_Bengaluru,Pharmaceutical,37648.03
4.0,35,Female,High School,Software Engineer,Bengaluru,Finance,31629.38
1.9,31,Male,Master's,Marketing Specialist,Hyderabad,Finance,25511.26
29.7,37,Male,High School,Data Scientist,Remote_USA,Tech,201168.0
9.7,37,Male,Master's,Financial Analyst,Bengaluru,Tech,41165.06
24.3,52,Female,High School,Sales Rep,Singapore,Pharmaceutical,177744.64
7.6,63,Female,Bachelor's,Software Engineer,Seattle,Healthcare,157218.17
20.4,46,Female,Bachelor's,Product Manager,Mumbai,Government,46867.24
22.8,34,Male,Master's,Marketing Specialist,London,Finance,202938.28
17.9,27,Male,High School,Civil Engineer,Seattle,Finance,160197.86
14.1,65,Male,Bachelor's,Cybersecurity Analyst,Bengaluru,Finance,54533.81
12.4,30,Male,Bachelor's,Sales Rep,Delhi,Manufacturing,28260.51
10.5,57,Female,Bachelor's,Consultant,Mumbai,Retail,37372.95
27.9,64,Male,High School,Product Manager,Bengaluru,Aerospace,59775.7
24.9,41,Female,Master's,Product Manager,Remote_USA,Education,179200.37
29.0,39,Female,Bachelor's,Data Scientist,Delhi,Healthcare,52116.26
3.7,64,Male,High School,Financial Analyst,Chennai,Pharmaceutical,27993.01
21.9,42,Female,Master's,Product Manager,Chennai,Automotive,43023.05
28.2,25,Male,PhD,Software Engineer,New York,Finance,263641.68
5.4,54,Male,Master's,HR Manager,Chennai,Tech,32702.79
2.0,48,Male,Bachelor's,Consultant,Sydney,Education,100096.54
22.2,28,Female,Master's,Product Manager,Mumbai,Healthcare,47842.27
17.2,27,Male,PhD,Software Engineer,Remote_India,Food & Beverage,36499.72
25.3,36,Female,Master's,UX Designer,Delhi,Healthcare,46005.73
4.2,39,Female,Bachelor's,UX Designer,London,Tech,118822.31
23.9,53,Male,Bachelor's,HR Manager,Toronto,Logistics,165559.76
6.0,32,Female,Master's,Product Manager,Austin,Media,120078.18
4.9,41,Female,Bachelor's,HR Manager,Bengaluru,Tech,32710.17
4.9,45,Male,Bachelor's,Cybersecurity Analyst,Bengaluru,Aerospace,37606.0
24.4,36,Male,Master's,Data Scientist,Bengaluru,Finance,60979.87
20.0,28,Female,Master's,DevOps Engineer,San Francisco,Finance,230869.26
15.7,42,Male,Bachelor's,UX Designer,London,Aerospace,185477.32
10.8,63,Female,Master's,Data Scientist,New York,Retail,199865.05
26.3,47,Male,High School,UX Designer,Mumbai,Tech,53945.15
11.8,65,Male,Bachelor's,Software Engineer,Chennai,Finance,36320.08
24.5,35,Male,Master's,Software Engineer,Austin,Manufacturing,199495.06
13.2,58,Male,Bachelor's,UX Designer,Toronto,Tech,148823.68
11.3,42,Female,Bachelor's,Consultant,London,Education,137681.65
13.9,39,Male,PhD,Cybersecurity Analyst,Bengaluru,Consulting,55249.91
9.0,26,Female,Bachelor's,HR Manager,Bengaluru,Finance,30042.22
22.4,24,Female,Bachelor's,Software Engineer,Seattle,Consulting,187683.34
15.1,44,Female,PhD,HR Manager,Remote_India,Government,38781.48
7.0,47,Female,Master's,Marketing Specialist,San Francisco,Healthcare,157793.25
27.0,58,Male,Master's,Teacher/Professor,Hyderabad,Finance,55153.39
11.5,45,Male,Master's,Civil Engineer,London,Finance,157771.23
16.3,40,Female,High School,Civil Engineer,Seattle,Education,137599.21
27.2,46,Male,Master's,UX Designer,Berlin,Government,176713.72
18.7,42,Female,Bachelor's,Consultant,New York,Finance,195051.33
3.5,33,Male,Master's,Data Scientist,Toronto,Finance,105661.53
28.2,62,Female,Bachelor's,Healthcare Administrator,San Francisco,Healthcare,265495.05
18.8,54,Female,Master's,Data Scientist,Chennai,Retail,41283.34
10.0,25,Female,Bachelor's,Software Engineer,Seattle,Tech,148934.63
4.2,63,Female,Bachelor's,Software Engineer,London,Media,143037.72
23.8,28,Female,Master's,Teacher/Professor,Mumbai,Finance,46144.96
18.6,43,Female,Master's,UX Designer,San Francisco,Consulting,226298.54
16.0,54,Female,Master's,UX Designer,Delhi,Retail,38134.39
26.8,38,Male,Bachelor's,DevOps Engineer,Bengaluru,Education,56083.38
23.7,45,Male,Bachelor's,Cloud Engineer,Chennai,Tech,45837.53
